artist,album,rank,year,reviewer_url
Kacey Musgraves,Golden Hour,23,2018,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Destroyer,Kaputt,22,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beach House,Teen Dream,21,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
DJ Rashad,Double Cup,20,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lana Del Rey,Norman Fucking Rockwell!,19,2019,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kendrick Lamar,"good kid, m.A.A.d city",18,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Sufjan Stevens,Carrie & Lowell,17,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Joanna Newsom,Have One On Me,16,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kanye West,Yeezus,15,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lorde,Melodrama,14,2017,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Drake,Take Care,13,2011,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Rihanna,ANTI,12,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Grimes,Art Angels,11,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Frank Ocean,Channel ORANGE,10,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
D'Angelo and the Vanguard,Black Messiah,9,2014,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Robyn,Body Talk,8,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Vampire Weekend,Modern Vampires of the City,7,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Solange,A Seat at the Table,6,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Fiona Apple,The Idler Wheel...,5,2012,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kendrick Lamar,To Pimp a Butterfly,4,2015,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Beyoncé,Beyoncé,3,2013,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Kanye West,My Beautiful Dark Twisted Fantasy,2,2010,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Frank Ocean,Blonde,1,2016,https://pitchfork.com/features/lists-and-guides/the-200-best-albums-of-the-2010s/
Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack,100,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Lady Antebellum,Need You Now,99,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Japandroids,Celebration Rock,98,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Porter Robinson,Worlds,97,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Ed Sheeran,x,96,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Chris Stapleton,Traveller,95,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Nipsey Hussle,Victory Lap,94,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
P!nk,The Truth About Love,93,2012,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Ozuna,Odisea,92,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Miley Cyrus,Bangerz,91,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Against Me!,Transgender Dysphoria Blues,90,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Childish Gambino,"""Awaken, My Love!""",89,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Sky Ferreira,"Night Time, My Time",88,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Brandi Carlile,"By the Way, I Forgive You",87,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Jonas Brothers,Happiness Begins,86,2019,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
J. Cole,2014 Forest Hills Drive,85,2014,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Rihanna,Loud,84,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Travis Scott,Astroworld,83,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
The 1975,I Like it when you sleep...,82,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Mumford & Songs,Sigh No More,81,2010,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Camila Cabello,Camila,80,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",79,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Adele,25,78,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Arctic Monkeys,AM,77,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Lil Uzi Vert,Luv Is Rage 2,76,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Twenty One Pilots,Blurryface,74,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Kesha,Rainbow,73,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Jenni Rivera,Joyas Prestadas,72,2011,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Maggie Rogers,Heard It in a Past Life,71,2019,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Mac Miller,Swimming,70,2018,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Bruno Mars,24K Magic,69,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
HAIM,Days Are Gone,68,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Rae Sremmurd,SremmLife,67,2015,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Perfume Genius,No Shape,66,2017,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Lizzo,Cuz I Love You,65,2019,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Maren Morris,HERO,64,2016,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
Tegan and Sara,Heartthrob,63,2013,https://www.billboard.com/articles/news/list/8543722/best-albums-of-the-2010s-top-100
